customer_id,customer_name,age,gender,city,subscription,discount_applied,item_purchased,category,purchase_amount,payment_method,purchase_date,age_group,purchase_month,purchase_day,purchase_year,discount_flag,revenue_segment
1038,Farhan,24,Female,Meerut,Yes,No,Rice,Groceries,44214,Cash,2025-08-13,18-25,August,Wednesday,2025,0,high
1039,Farhan,40,Male,Meerut,No,No,Unknown,Fashion,59824,Upi,2025-10-16,36-45,October,Thursday,2025,0,premium
1040,Zoya,52,Male,Gurugram,Yes,No,Shoes,Fashion,9464,Cash,2025-05-23,46-60,May,Friday,2025,0,low
1041,Farhan,53,Male,Gurugram,Yes,No,Laptop,Electronics,56934,Card,2025-06-08,46-60,June,Sunday,2025,0,premium
1042,Zoya,27,Female,Delhi,Yes,Yes,Mobile,Electronics,32750,Card,2025-10-25,26-35,October,Saturday,2025,1,high
1043,Anjali,47,Male,Meerut,Yes,No,Cricket Bat,Sports,35394,Net Banking,2025-04-05,46-60,April,Saturday,2025,0,high
1044,Zoya,39,Male,Lucknow,No,Yes,Mouse,Electronics,23714,Upi,2025-02-21,36-45,February,Friday,2025,1,medium
1045,Anjali,30,Male,Delhi,Yes,No,Face Wash,Beauty,60829,Net Banking,2025-01-11,26-35,January,Saturday,2025,0,premium
1046,Sara,44,Male,Meerut,Yes,No,Watch,Fashion,866,Cash,2025-08-04,36-45,August,Monday,2025,0,low
1047,Zoya,52,Male,Delhi,No,Yes,Mouse,Electronics,32762,Net Banking,2025-03-04,46-60,March,Tuesday,2025,1,high
1048,Sara,20,Female,Noida,Yes,No,Unknown,Fashion,1731,Upi,2025-04-17,18-25,April,Thursday,2025,0,low
1049,Rohan,54,Female,Lucknow,Yes,No,T-Shirt,Fashion,52828,Cash,2025-01-23,46-60,January,Thursday,2025,0,premium
1050,Anjali,45,Male,Delhi,No,Yes,Watch,Fashion,30376,Upi,2025-10-30,36-45,October,Thursday,2025,1,high
1051,Rohan,33,Male,Lucknow,No,Yes,Rice,Groceries,49815,Net Banking,2025-12-26,26-35,December,Friday,2025,1,high
1052,Neha,22,Female,Meerut,Yes,Yes,Laptop,Electronics,66173,Net Banking,2025-02-08,18-25,February,Saturday,2025,1,premium
1053,Karan,33,Female,Noida,Yes,No,Football,Sports,16017,Card,2025-09-15,26-35,September,Monday,2025,0,medium
1054,Anjali,23,Female,Gurugram,No,Yes,Laptop,Electronics,16304,Cash,2025-08-29,18-25,August,Friday,2025,1,medium
1055,Zoya,47,Male,Lucknow,Yes,No,Laptop,Electronics,44889,Upi,2025-06-23,46-60,June,Monday,2025,0,high
1056,Neha,38,Female,Meerut,No,No,T-Shirt,Fashion,23722,Net Banking,2025-02-01,36-45,February,Saturday,2025,0,medium
1057,Ali,18,Male,Delhi,Yes,No,Cricket Bat,Sports,24156,Cash,2025-02-08,18-25,February,Saturday,2025,0,medium
1058,Rohan,33,Female,Delhi,No,No,Watch,Fashion,65643,Net Banking,2025-04-10,26-35,April,Thursday,2025,0,premium
1059,Priya,31,Male,Meerut,Yes,Yes,T-Shirt,Fashion,32999,Net Banking,2025-05-31,26-35,May,Saturday,2025,1,high
1060,Vikas,50,Female,Noida,Yes,No,T-Shirt,Fashion,10996,Card,2025-02-11,46-60,February,Tuesday,2025,0,medium
1061,Karan,26,Female,Noida,Yes,No,Milk,Groceries,346,Upi,2025-09-05,26-35,September,Friday,2025,0,low
1062,Vikas,27,Female,Gurugram,Yes,Yes,Mobile,Electronics,64333,Upi,2025-10-19,26-35,October,Sunday,2025,1,premium
1063,Ali,46,Female,Meerut,Yes,No,Shampoo,Beauty,52418,Upi,2025-01-17,46-60,January,Friday,2025,0,premium
1064,Rohan,41,Female,Meerut,No,No,Mouse,Electronics,32837,Cash,2025-08-26,36-45,August,Tuesday,2025,0,high
1065,Karan,46,Female,Delhi,Yes,Yes,Football,Sports,53315,Cash,2025-04-22,46-60,April,Tuesday,2025,1,premium
1066,Rahul,39,Male,Delhi,No,No,Shoes,Fashion,22644,Cash,2025-05-24,36-45,May,Saturday,2025,0,medium
1067,Rohan,53,Male,Gurugram,No,No,Cricket Bat,Sports,40101,Upi,2025-06-30,46-60,June,Monday,2025,0,high
1068,Sara,22,Female,Delhi,Yes,No,Watch,Fashion,54471,Cash,2025-04-04,18-25,April,Friday,2025,0,premium
1069,Vikas,44,Female,Lucknow,No,No,Tea,Groceries,57906,Upi,2025-06-12,36-45,June,Thursday,2025,0,premium
1070,Zoya,21,Female,Noida,No,No,Watch,Fashion,32133,Card,2025-05-09,18-25,May,Friday,2025,0,high
1071,Rahul,19,Female,Delhi,No,Yes,Mobile,Electronics,38116,Upi,2025-03-17,18-25,March,Monday,2025,1,high
1072,Vikas,55,Female,Gurugram,Yes,No,Face Wash,Beauty,27608,Cash,2025-07-15,46-60,July,Tuesday,2025,0,medium
1073,Rahul,42,Male,Meerut,Yes,Yes,Laptop,Electronics,52609,Card,2025-09-06,36-45,September,Saturday,2025,1,premium
1074,Aman,21,Male,Delhi,Yes,No,Laptop,Electronics,23075,Cash,2025-02-18,18-25,February,Tuesday,2025,0,medium
1075,Rahul,32,Female,Meerut,No,No,Laptop,Electronics,29305,Net Banking,2025-07-22,26-35,July,Tuesday,2025,0,medium
1076,Anjali,18,Male,Lucknow,Yes,No,Cricket Bat,Sports,67748,Upi,2025-11-29,18-25,November,Saturday,2025,0,premium
1077,Neha,23,Female,Lucknow,No,No,Face Wash,Beauty,7848,Card,2025-03-08,18-25,March,Saturday,2025,0,low
1078,Sara,51,Female,Meerut,Yes,No,Milk,Groceries,27876,Net Banking,2025-10-13,46-60,October,Monday,2025,0,medium
1079,Farhan,40,Male,Noida,Yes,No,Tea,Groceries,46896,Cash,2025-05-29,36-45,May,Thursday,2025,0,high
1080,Karan,42,Male,Noida,No,Yes,Keyboard,Electronics,29682,Cash,2025-06-17,36-45,June,Tuesday,2025,1,medium
1081,Ali,31,Male,Lucknow,Yes,Yes,Shampoo,Beauty,13502,Upi,2025-12-09,26-35,December,Tuesday,2025,1,medium
1082,Rohan,59,Male,Lucknow,No,No,Cricket Bat,Sports,57111,Net Banking,2025-11-21,46-60,November,Friday,2025,0,premium
1083,Rahul,50,Female,Delhi,Yes,Yes,Milk,Groceries,61284,Upi,2025-08-29,46-60,August,Friday,2025,1,premium
1084,Rahul,20,Female,Delhi,Yes,Yes,Tea,Groceries,32661,Net Banking,2025-03-06,18-25,March,Thursday,2025,1,high
1085,Ali,59,Female,Meerut,Yes,No,Milk,Groceries,1340,Cash,2025-05-25,46-60,May,Sunday,2025,0,low
1086,Vikas,29,Female,Lucknow,Yes,Yes,Laptop,Electronics,54382,Upi,2025-06-07,26-35,June,Saturday,2025,1,premium
1087,Rohan,25,Male,Gurugram,Yes,Yes,Rice,Groceries,7250,Card,2025-07-30,18-25,July,Wednesday,2025,1,low
1088,Farhan,50,Female,Lucknow,Yes,No,Cricket Bat,Sports,51915,Net Banking,2025-08-17,46-60,August,Sunday,2025,0,premium
1089,Farhan,41,Female,Noida,No,No,Watch,Fashion,963,Net Banking,2025-02-20,36-45,February,Thursday,2025,0,low
1090,Farhan,36,Female,Meerut,Yes,No,Face Wash,Beauty,19316,Net Banking,2025-10-08,36-45,October,Wednesday,2025,0,medium
1091,Sara,54,Female,Lucknow,No,Yes,Shoes,Fashion,15674,Net Banking,2025-12-26,46-60,December,Friday,2025,1,medium
1092,Karan,24,Female,Meerut,Yes,Yes,Milk,Groceries,43080,Cash,2025-05-06,18-25,May,Tuesday,2025,1,high
1093,Rohan,21,Female,Noida,Yes,No,Face Wash,Beauty,2934,Upi,2025-04-25,18-25,April,Friday,2025,0,low
1094,Sara,59,Female,Noida,Yes,No,Watch,Fashion,46917,Net Banking,2025-07-05,46-60,July,Saturday,2025,0,high
1095,Anjali,51,Male,Delhi,No,No,Football,Sports,6781,Upi,2025-12-19,46-60,December,Friday,2025,0,low
1096,Rohan,21,Male,Lucknow,No,No,Watch,Fashion,2926,Cash,2025-05-01,18-25,May,Thursday,2025,0,low
1097,Sara,37,Female,Delhi,Yes,No,Face Wash,Beauty,30568,Card,2025-05-07,36-45,May,Wednesday,2025,0,high
1098,Vikas,36,Male,Noida,No,No,Shoes,Fashion,20975,Cash,2025-05-01,36-45,May,Thursday,2025,0,medium
1099,Ali,38,Female,Gurugram,Yes,No,Rice,Groceries,64753,Card,2025-08-18,36-45,August,Monday,2025,0,premium
1100,Rahul,53,Female,Meerut,No,Yes,Shoes,Fashion,33803,Cash,2025-12-28,46-60,December,Sunday,2025,1,high
1101,Farhan,54,Female,Gurugram,Yes,No,Tea,Groceries,67338,Cash,2025-10-22,46-60,October,Wednesday,2025,0,premium
1102,Rahul,48,Female,Lucknow,No,No,Face Wash,Beauty,28759,Cash,2025-10-19,46-60,October,Sunday,2025,0,medium
1103,Anjali,18,Male,Noida,Yes,No,Milk,Groceries,69678,Upi,2025-09-28,18-25,September,Sunday,2025,0,premium
1104,Rohan,43,Female,Meerut,No,No,Cricket Bat,Sports,58916,Cash,2025-07-04,36-45,July,Friday,2025,0,premium
1105,Rahul,47,Male,Lucknow,Yes,No,Football,Sports,28390,Net Banking,2025-06-25,46-60,June,Wednesday,2025,0,medium
1106,Zoya,21,Female,Lucknow,Yes,Yes,Unknown,Beauty,48591,Cash,2025-02-15,18-25,February,Saturday,2025,1,high
1107,Rahul,22,Female,Noida,Yes,No,Shampoo,Beauty,42429,Net Banking,2025-09-15,18-25,September,Monday,2025,0,high
1108,Vikas,31,Male,Meerut,No,No,Football,Sports,27956,Card,2025-05-25,26-35,May,Sunday,2025,0,medium
1109,Karan,42,Female,Gurugram,No,No,Mouse,Electronics,64218,Upi,2025-10-06,36-45,October,Monday,2025,0,premium
1110,Zoya,27,Male,Delhi,No,Yes,Keyboard,Electronics,39798,Cash,2025-12-25,26-35,December,Thursday,2025,1,high
1111,Neha,26,Male,Lucknow,Yes,Yes,Milk,Groceries,51082,Cash,2025-05-29,26-35,May,Thursday,2025,1,premium
1112,Neha,58,Female,Noida,No,No,Shampoo,Beauty,57262,Upi,2025-01-06,46-60,January,Monday,2025,0,premium
1113,Neha,53,Female,Noida,Yes,No,Mouse,Electronics,35373,Net Banking,2025-01-13,46-60,January,Monday,2025,0,high
1114,Farhan,57,Male,Gurugram,Yes,No,Cricket Bat,Sports,69709,Upi,2025-06-02,46-60,June,Monday,2025,0,premium
1115,Neha,18,Female,Gurugram,Yes,Yes,Shampoo,Beauty,67733,Card,2025-09-13,18-25,September,Saturday,2025,1,premium
1116,Farhan,43,Female,Delhi,No,No,T-Shirt,Fashion,67299,Cash,2025-10-14,36-45,October,Tuesday,2025,0,premium
1117,Priya,48,Female,Meerut,Yes,No,Tea,Groceries,43072,Card,2025-03-04,46-60,March,Tuesday,2025,0,high
1118,Rohan,37,Male,Noida,No,Yes,Mouse,Electronics,9224,Cash,2025-08-18,36-45,August,Monday,2025,1,low
1119,Neha,36,Male,Delhi,Yes,No,Shoes,Fashion,49051,Card,2025-02-06,36-45,February,Thursday,2025,0,high
1120,Karan,60,Female,Noida,No,No,Tea,Groceries,44370,Upi,2025-04-29,46-60,April,Tuesday,2025,0,high
1121,Ali,18,Female,Delhi,No,No,Watch,Fashion,32641,Card,2025-09-01,18-25,September,Monday,2025,0,high
1122,Zoya,32,Female,Noida,No,No,Unknown,Beauty,25380,Net Banking,2025-08-01,26-35,August,Friday,2025,0,medium
1123,Vikas,46,Male,Lucknow,Yes,Yes,Face Wash,Beauty,31613,Card,2025-07-20,46-60,July,Sunday,2025,1,high
1124,Anjali,20,Male,Delhi,No,No,Face Wash,Beauty,13354,Net Banking,2025-07-08,18-25,July,Tuesday,2025,0,medium
1125,Neha,58,Female,Gurugram,Yes,No,Mouse,Electronics,36857,Upi,2025-08-25,46-60,August,Monday,2025,0,high
1126,Zoya,50,Male,Gurugram,Yes,No,Keyboard,Electronics,68901,Upi,2025-07-02,46-60,July,Wednesday,2025,0,premium
1127,Anjali,55,Male,Lucknow,Yes,Yes,Tea,Groceries,58415,Upi,2025-09-23,46-60,September,Tuesday,2025,1,premium
1128,Ali,34,Male,Lucknow,No,Yes,Watch,Fashion,15022,Upi,2025-09-18,26-35,September,Thursday,2025,1,medium
1129,Rohan,34,Female,Lucknow,No,No,Football,Sports,18105,Upi,2025-08-03,26-35,August,Sunday,2025,0,medium
1130,Sara,48,Female,Meerut,No,No,Cricket Bat,Sports,39964,Net Banking,2025-11-06,46-60,November,Thursday,2025,0,high
1131,Ali,22,Female,Lucknow,Yes,No,Unknown,Sports,1253,Upi,2025-12-02,18-25,December,Tuesday,2025,0,low
1132,Sara,34,Female,Delhi,Yes,Yes,Face Wash,Beauty,54850,Net Banking,2025-01-22,26-35,January,Wednesday,2025,1,premium
1133,Aman,25,Male,Noida,No,Yes,Mobile,Electronics,25647,Upi,2025-11-13,18-25,November,Thursday,2025,1,medium
1134,Sara,57,Female,Gurugram,No,Yes,Football,Sports,9343,Cash,2025-01-20,46-60,January,Monday,2025,1,low
1135,Karan,40,Female,Lucknow,Yes,No,Watch,Fashion,63780,Card,2025-09-10,36-45,September,Wednesday,2025,0,premium
1136,Farhan,30,Male,Delhi,Yes,No,Watch,Fashion,63552,Net Banking,2025-04-16,26-35,April,Wednesday,2025,0,premium
1137,Anjali,33,Female,Meerut,No,No,Laptop,Electronics,40853,Card,2025-01-29,26-35,January,Wednesday,2025,0,high
1138,Rahul,45,Male,Meerut,Yes,No,Cricket Bat,Sports,31680,Card,2025-09-08,36-45,September,Monday,2025,0,high
1139,Aman,41,Female,Lucknow,Yes,No,Football,Sports,31325,Cash,2025-03-13,36-45,March,Thursday,2025,0,high
1140,Rohan,39,Male,Lucknow,Yes,No,Mouse,Electronics,22462,Upi,2025-02-28,36-45,February,Friday,2025,0,medium
1141,Vikas,60,Female,Lucknow,Yes,Yes,Shampoo,Beauty,222,Card,2025-07-05,46-60,July,Saturday,2025,1,low
1142,Ali,22,Female,Noida,Yes,Yes,Milk,Groceries,7241,Card,2025-06-19,18-25,June,Thursday,2025,1,low
1143,Rohan,33,Male,Lucknow,Yes,No,Shoes,Fashion,24109,Card,2025-04-12,26-35,April,Saturday,2025,0,medium
1144,Rohan,24,Male,Meerut,Yes,No,Milk,Groceries,15526,Net Banking,2025-08-22,18-25,August,Friday,2025,0,medium
1145,Priya,26,Male,Gurugram,No,No,Laptop,Electronics,65451,Upi,2025-12-15,26-35,December,Monday,2025,0,premium
1146,Farhan,48,Female,Gurugram,No,Yes,Face Wash,Beauty,48341,Card,2025-02-11,46-60,February,Tuesday,2025,1,high
1147,Zoya,54,Male,Gurugram,No,No,Milk,Groceries,18143,Card,2025-10-28,46-60,October,Tuesday,2025,0,medium
1148,Ali,31,Male,Delhi,No,No,Rice,Groceries,43767,Upi,2025-03-06,26-35,March,Thursday,2025,0,high
1149,Ali,38,Male,Meerut,Yes,No,Laptop,Electronics,4107,Card,2025-11-08,36-45,November,Saturday,2025,0,low
1150,Sara,23,Male,Meerut,Yes,No,Laptop,Electronics,18778,Net Banking,2025-08-11,18-25,August,Monday,2025,0,medium
1151,Sara,35,Female,Gurugram,No,Yes,Rice,Groceries,12176,Cash,2025-01-05,26-35,January,Sunday,2025,1,medium
1152,Sara,49,Female,Gurugram,Yes,No,Shoes,Fashion,56171,Net Banking,2025-08-31,46-60,August,Sunday,2025,0,premium
1153,Ali,60,Male,Meerut,No,No,Unknown,Electronics,31032,Card,2025-06-08,46-60,June,Sunday,2025,0,high
1154,Rohan,59,Female,Noida,Yes,No,Unknown,Fashion,11164,Upi,2025-12-19,46-60,December,Friday,2025,0,medium
1155,Sara,20,Female,Noida,No,No,Face Wash,Beauty,30319,Cash,2025-03-09,18-25,March,Sunday,2025,0,high
1156,Karan,31,Female,Noida,Yes,No,Shoes,Fashion,66541,Net Banking,2025-04-29,26-35,April,Tuesday,2025,0,premium
1157,Ali,42,Male,Noida,Yes,Yes,Rice,Groceries,49541,Cash,2025-09-07,36-45,September,Sunday,2025,1,high
1158,Zoya,42,Female,Meerut,Yes,Yes,Tea,Groceries,48322,Card,2025-09-25,36-45,September,Thursday,2025,1,high
1159,Farhan,25,Female,Meerut,No,Yes,Football,Sports,55571,Cash,2025-05-21,18-25,May,Wednesday,2025,1,premium
1160,Priya,57,Female,Noida,Yes,No,Rice,Groceries,63760,Upi,2025-06-23,46-60,June,Monday,2025,0,premium
1161,Rahul,53,Female,Noida,No,No,Laptop,Electronics,11292,Net Banking,2025-09-29,46-60,September,Monday,2025,0,medium
1162,Karan,55,Male,Delhi,No,Yes,Rice,Groceries,28671,Net Banking,2025-08-29,46-60,August,Friday,2025,1,medium
1163,Aman,28,Male,Meerut,Yes,No,Cricket Bat,Sports,14063,Upi,2025-12-25,26-35,December,Thursday,2025,0,medium
1164,Rahul,32,Female,Delhi,Yes,No,Mobile,Electronics,20433,Cash,2025-09-30,26-35,September,Tuesday,2025,0,medium
1165,Neha,47,Female,Delhi,Yes,No,Cricket Bat,Sports,47912,Card,2025-02-17,46-60,February,Monday,2025,0,high
1166,Zoya,29,Male,Meerut,No,Yes,Face Wash,Beauty,50205,Cash,2025-11-22,26-35,November,Saturday,2025,1,premium
1167,Anjali,31,Male,Lucknow,No,Yes,Keyboard,Electronics,69511,Net Banking,2025-10-07,26-35,October,Tuesday,2025,1,premium
1168,Anjali,24,Female,Noida,Yes,No,Cricket Bat,Sports,44805,Card,2025-04-01,18-25,April,Tuesday,2025,0,high
1169,Karan,25,Female,Noida,No,No,Shampoo,Beauty,7372,Net Banking,2025-11-16,18-25,November,Sunday,2025,0,low
1170,Zoya,27,Male,Gurugram,Yes,No,Football,Sports,12024,Card,2025-04-20,26-35,April,Sunday,2025,0,medium
1171,Anjali,56,Male,Noida,No,No,Face Wash,Beauty,28857,Cash,2025-03-02,46-60,March,Sunday,2025,0,medium
1172,Priya,39,Female,Noida,Yes,No,Mouse,Electronics,26556,Upi,2025-01-06,36-45,January,Monday,2025,0,medium
1173,Karan,30,Male,Gurugram,Yes,No,Shampoo,Beauty,6434,Upi,2025-11-03,26-35,November,Monday,2025,0,low
1174,Farhan,23,Female,Meerut,Yes,No,Rice,Groceries,56418,Upi,2025-04-03,18-25,April,Thursday,2025,0,premium
1175,Sara,60,Male,Gurugram,No,Yes,Milk,Groceries,65952,Card,2025-06-06,46-60,June,Friday,2025,1,premium
1176,Neha,27,Male,Delhi,Yes,Yes,Rice,Groceries,24563,Cash,2025-11-23,26-35,November,Sunday,2025,1,medium
1177,Neha,54,Male,Gurugram,Yes,No,T-Shirt,Fashion,59899,Card,2025-03-04,46-60,March,Tuesday,2025,0,premium
1178,Anjali,27,Female,Lucknow,Yes,Yes,Tea,Groceries,31298,Cash,2025-09-11,26-35,September,Thursday,2025,1,high
1179,Anjali,51,Female,Delhi,No,Yes,Cricket Bat,Sports,36938,Cash,2025-09-04,46-60,September,Thursday,2025,1,high
1180,Vikas,20,Female,Lucknow,No,No,T-Shirt,Fashion,57676,Cash,2025-04-10,18-25,April,Thursday,2025,0,premium
1181,Sara,49,Female,Meerut,Yes,No,Football,Sports,15718,Card,2025-04-07,46-60,April,Monday,2025,0,medium
1182,Rahul,36,Male,Gurugram,No,Yes,Shoes,Fashion,22822,Card,2025-04-19,36-45,April,Saturday,2025,1,medium
1183,Aman,29,Male,Lucknow,Yes,Yes,Football,Sports,60026,Upi,2025-10-12,26-35,October,Sunday,2025,1,premium
1184,Priya,59,Female,Lucknow,No,No,Mouse,Electronics,51782,Net Banking,2025-09-15,46-60,September,Monday,2025,0,premium
1185,Aman,42,Male,Meerut,No,Yes,Watch,Fashion,31187,Net Banking,2025-03-02,36-45,March,Sunday,2025,1,high
1186,Aman,53,Male,Lucknow,Yes,No,Football,Sports,51492,Upi,2025-11-09,46-60,November,Sunday,2025,0,premium
1187,Neha,27,Female,Delhi,No,No,Mobile,Electronics,1623,Cash,2025-04-21,26-35,April,Monday,2025,0,low
1188,Sara,53,Male,Delhi,No,No,Face Wash,Beauty,67897,Upi,2025-12-17,46-60,December,Wednesday,2025,0,premium
1189,Rahul,42,Female,Meerut,No,Yes,Rice,Groceries,54242,Cash,2025-08-22,36-45,August,Friday,2025,1,premium
1190,Karan,51,Female,Noida,No,No,Football,Sports,54345,Card,2025-02-23,46-60,February,Sunday,2025,0,premium
1191,Zoya,20,Male,Meerut,No,No,Mobile,Electronics,52834,Cash,2025-11-24,18-25,November,Monday,2025,0,premium
1192,Rohan,50,Male,Gurugram,Yes,Yes,Laptop,Electronics,43323,Card,2025-08-14,46-60,August,Thursday,2025,1,high
1193,Sara,29,Female,Gurugram,No,No,Shampoo,Beauty,4761,Upi,2025-06-14,26-35,June,Saturday,2025,0,low
1194,Neha,58,Male,Lucknow,Yes,No,Unknown,Fashion,30496,Net Banking,2025-04-15,46-60,April,Tuesday,2025,0,high
1195,Aman,60,Male,Meerut,Yes,Yes,Mobile,Electronics,4846,Net Banking,2025-11-21,46-60,November,Friday,2025,1,low
1196,Rahul,46,Male,Gurugram,Yes,Yes,Milk,Groceries,26660,Cash,2025-08-15,46-60,August,Friday,2025,1,medium
1197,Rohan,53,Male,Noida,Yes,Yes,Milk,Groceries,58550,Card,2025-10-30,46-60,October,Thursday,2025,1,premium
1198,Aman,49,Male,Noida,No,Yes,Face Wash,Beauty,29875,Upi,2025-12-18,46-60,December,Thursday,2025,1,medium
1199,Zoya,50,Female,Meerut,No,Yes,Shampoo,Beauty,22097,Cash,2025-04-25,46-60,April,Friday,2025,1,medium
1200,Aman,29,Female,Gurugram,No,No,Cricket Bat,Sports,28992,Net Banking,2025-04-22,26-35,April,Tuesday,2025,0,medium
1201,Karan,19,Male,Noida,No,Yes,Football,Sports,7528,Upi,2025-06-02,18-25,June,Monday,2025,1,low
1202,Vikas,29,Male,Meerut,No,No,Shoes,Fashion,65923,Cash,2025-07-24,26-35,July,Thursday,2025,0,premium
1203,Farhan,58,Male,Delhi,Yes,Yes,Football,Sports,60668,Upi,2025-07-29,46-60,July,Tuesday,2025,1,premium
1204,Priya,34,Female,Gurugram,Yes,No,Shoes,Fashion,37683,Upi,2025-10-16,26-35,October,Thursday,2025,0,high
1205,Sara,24,Female,Lucknow,No,Yes,Mobile,Electronics,9061,Cash,2025-09-04,18-25,September,Thursday,2025,1,low
1206,Rohan,43,Female,Gurugram,Yes,No,Laptop,Electronics,3473,Net Banking,2025-02-13,36-45,February,Thursday,2025,0,low
1207,Sara,55,Female,Delhi,Yes,Yes,Cricket Bat,Sports,69632,Upi,2025-06-13,46-60,June,Friday,2025,1,premium
1208,Sara,58,Female,Noida,Yes,No,Shampoo,Beauty,19370,Cash,2025-02-17,46-60,February,Monday,2025,0,medium
